,Unnamed: 0,comment_url,comment_createdAt,comment_id,comment_viewCount,comment_lang,comment_author_createdAt,comment_location,comment_text,isComment_self__decalred__location__El_Salvador,comment_processed_text,post_url,post_actor_createdAt,post_id,post_isReply,post_inReplyToId,post_isRetweet,post_isQuote,post_viewCount,post_retweetCount,post_likeCount,post_replyCount,post_lang,actor_location,post_name,post_description,post_followers,post_verified,post_text,isActor_self__decalred__location__El_Salvador,post_processed_text,actor_affiliation,llama3_output,llama3_reason,manual labeling
532,1209,https://x.com/dany_u07/status/1773424640678838281,1711652357.0,1.77342e+18,67.0,es,08/02/2018,"Houston, TX",@nayibbukele Uff lancha nueva 😁,False,uff lancha nueva,https://x.com/nayibbukele/status/1773114767801995677,1711578478.0,1.77311e+18,True,1.77e+18,False,False,458961.0,746.0,4309.0,137.0,es,El Salvador,Nayib Bukele,Philosopher King,6211020.0,True,"La embarcación que transportaba la droga ya está en tierra.

La cocaína será destruida y la lancha pasará a nuestra Marina Nacional para ser usada en el combate al narcotráfico.

Los detenidos serán procesados conforme a la ley.

#PlanControlTerritorial https://t.co/cTAtraqM5X",True,la embarcación que transportaba la droga ya está en tierra la cocaína será destruida y la lancha pasará a nuestra marina nacional para ser usada en el combate al narcotráfico los detenidos serán procesados conforme a la ley,Government,0.0,"The tweet is neutral, simply stating the arrival of a new boat without expressing a positive or negative sentiment.",0
1968,6219,https://x.com/marquinan40/status/1761554116961263652,1708822204.0,1.76155e+18,99.0,es,09/08/2022,,@Vi11atoro @PNCSV Es lo menos q podemos hacer despues de devolvernos nuestra livertad gracias a usted ministro y nuestro presidente 💯💯💯,False,es lo menos q podemos hacer despues de devolvernos nuestra livertad gracias a usted ministro y nuestro presidente,https://x.com/Vi11atoro/status/1761495675777212428,1708808270.0,1.7615e+18,False,,False,True,111194.0,381.0,2151.0,216.0,es,,Gustavo Villatoro 🇸🇻,Ministro de Justicia y Seguridad Pública,66429.0,True,"Agradecemos a la población la confianza en realizar este tipo de denuncias, nuestra @PNCSV realiza patrullajes digitales para actuar de manera inmediata.

A los padres de familia pedirles que se mantenga vigilantes supervisando lo que hacen sus hijos en redes sociales, ya que no vamos a tolerar ninguna acción que promueva a las pandillas.",False,agradecemos a la población la confianza en realizar este tipo de denuncias nuestra realiza patrullajes digitales para actuar de manera inmediata a los padres de familia pedirles que se mantenga vigilantes supervisando lo que hacen sus hijos en redes sociales ya que no vamos a tolerar ninguna acción que promueva a las pandillas,Government,1.0,"The tweet expresses gratitude and appreciation towards the minister and president for their role in regaining freedom, indicating a positive sentiment.",1
2293,7359,https://x.com/UnidadTps/status/1761631071907750042,1708840551.0,1.76163e+18,13.0,es,22/01/2016,"Dallas, TX",@MarceloLarin1 Todavia lloras porque no te dieron un Hueso en el gobierno de Bukele ..,False,todavia lloras porque no te dieron un hueso en el gobierno de bukele,https://x.com/MarceloLarin1/status/1761488482059403300,1708806555.0,1.76149e+18,False,,False,False,18552.0,28.0,197.0,222.0,es,ALPHA CENTAURI,MARCELO LARIN,"CONFERENCISTA, CONSULTOR Y ASESOR DE NAYIB BUKELE.",64221.0,True,"Hasta hoy la mujer más coherente que he visto es a Claudia Ortiz, porque los demás incluso la que batió record en acumular votos de pandilleros de Nuevas Ideas, no aporta ideas ni argumentos la mujer de mulato más perdida que la muchacha de los tamales de oro.",False,hasta hoy la mujer más coherente que he visto es a claudia ortiz porque los demás incluso la que batió record en acumular votos de pandilleros de nuevas ideas no aporta ideas ni argumentos la mujer de mulato más perdida que la muchacha de los tamales de oro,Media,-1.0,"The tweet expresses criticism and disappointment towards the government, using a metaphorical comparison of not receiving a 'hueso' (bone) to convey a sense of neglect and dissatisfaction.",-1
2249,7197,https://x.com/lachele78/status/1764662067796013549,1709563197.0,1.76466e+18,7957.0,es,05/09/2020,El Salvador,"@MarceloLarin1 @eybonluis Lonque el no entiende es que si no hubiese hecho fraude en la asamblea ,ni tendria mayoria simple ,el pueblo desde ahi le dijimos que no queremos mas de lo mismo, perooo  aparecieron cobmayoria calificada, nosotros como pueblos estamos harto ! Sino vea el 59 y cacho % del padron",True,lonque el no entiende es que si no hubiese hecho fraude en la asamblea ni tendria mayoria simple el pueblo desde ahi le dijimos que no queremos mas de lo mismo perooo aparecieron cobmayoria calificada nosotros como pueblos estamos harto sino vea el 59 y cacho del padron,https://x.com/MarceloLarin1/status/1764631323182821585,1709555867.0,1.76463e+18,False,,False,False,86508.0,159.0,989.0,220.0,es,ALPHA CENTAURI,MARCELO LARIN,"CONFERENCISTA, CONSULTOR Y ASESOR DE NAYIB BUKELE.",64221.0,True,"Nayib les quito el fodes a sus alcaldes, no llevaba ni obras a todos los municipios y todavía le hecho las culpa de perder jajajaja y llama aliados  a los que nunca menciono en campaña al contrario los quiso desaparecer 🤣🤣🤣.

Ahora que el pueblo los cachimbio le llama aliados.

Esos es ser muy sinvergüenza.",False,nayib les quito el fodes a sus alcaldes no llevaba ni obras a todos los municipios y todavía le hecho las culpa de perder jajajaja y llama aliados a los que nunca menciono en campaña al contrario los quiso desaparecer ahora que el pueblo los cachimbio le llama aliados esos es ser muy sinvergüenza,Media,-1.0,"The tweet expresses a negative sentiment as it criticizes the government for fraud in the assembly and implies that the people are tired of the same situation, using strong language such as 'harto' and 'no queremos mas de lo mismo'.",-1
2525,8144,https://x.com/BlancaEstela506/status/1366699619917381637,1614681556.0,1.3667e+18,,es,06/06/2019,,"@FranAlabi @nayibbukele Excelente!¡!  muy bonito se ve, lo público   mejor que lo privado😍👌👏👏",False,excelente muy bonito se ve lo público mejor que lo privado,https://x.com/FranAlabi/status/1366562547512573955,1614648875.0,1.36656e+18,False,,False,False,,707.0,5717.0,195.0,es,"San Salvador, El Salvador",Francisco Alabi 🇸🇻,Ministro de Salud 🇸🇻 Médico Cirujano Laparoscopista y Bariátrico,410702.0,True,"Áreas dignas para la población y el personal de salud.

paso a paso cambiamos nuestra red de hospitales para beneficio de los Salvadoreños.

Gracias Presidente @nayibbukele por todo su apoyo al sistema de salud y al pueblo Salvadoreño. 🇸🇻🇸🇻🇸🇻 https://t.co/S39bkehsE0",True,áreas dignas para la población y el personal de salud paso a paso cambiamos nuestra red de hospitales para beneficio de los salvadoreños gracias presidente por todo su apoyo al sistema de salud y al pueblo salvadoreño,Government,1.0,"The tweet expresses a positive sentiment by using the words 'excelente' and'muy bonito', which convey admiration and appreciation for the public sector, implying it is better than the private sector.",1
92,236,https://x.com/LLeonar051/status/1775711481998217604,1712197583.0,1.77571e+18,27.0,es,07/03/2017,,"@nayibbukele Habrá que traer el ferrocarril de nuevo señor Presidente. Gracias a eso nuestro pais pudo agilizar su comercio con el mundo entero, llevando la carga cuando no habian carreteras adecuadas ni camiones con la capacidad de hoy.

Creo que El Salvador ya se prepara para ese paso.",False,habrá que traer el ferrocarril de nuevo señor presidente gracias a eso nuestro pais pudo agilizar su comercio con el mundo entero llevando la carga cuando no habian carreteras adecuadas ni camiones con la capacidad de hoy creo que el salvador ya se prepara para ese paso,https://x.com/nayibbukele/status/1775699870231224819,1712194814.0,1.7757e+18,False,,False,False,939997.0,3896.0,15975.0,998.0,es,El Salvador,Nayib Bukele,Philosopher King,6211024.0,True,"Durante el medio siglo de guerra que vivió nuestro país, siempre nos dijeron que era imposible vivir diferente.

Ahora que al fin lo hemos logrado, hacen todo lo posible para que volvamos al pasado.

During the half century of war that our country endured, we were always told that living differently was impossible.

Now that we have finally achieved it, they do everything possible to make us return to the past.",True,durante el medio siglo de guerra que vivió nuestro país siempre nos dijeron que era imposible vivir diferente ahora que al fin lo hemos logrado hacen todo lo posible para que volvamos al pasado during the half century of war that our country endured we were always told that living differently was impossible now that we have finally achieved it they do everything possible to make us return to the past,Government,1.0,"The tweet expresses gratitude towards the president for reviving the railroad, which facilitated trade with the world, and shows optimism about the country's preparation for future progress.",0
220,502,https://x.com/Cristin87270717/status/1773046180756275340,1711562125.0,1.77305e+18,196.0,es,28/07/2023,,@nayibbukele Me sorprende que no había ningún colombiano 🤷🏻‍♀️,False,me sorprende que no había ningún colombiano,https://x.com/nayibbukele/status/1773039460256477463,1711560523.0,1.77304e+18,False,,False,False,769394.0,2416.0,14065.0,719.0,es,El Salvador,Nayib Bukele,Philosopher King,6211026.0,True,"Nuestra Marina Nacional incautó una lancha a 490 Millas Náuticas al Suroeste de la Bocana el Cordoncillo, Estero de Jaltepeque.

A bordo de la lancha narcotraficante se encontraban 9 tripulantes; entre ellos, 6 ecuatorianos y 3 guatemaltecos.

Se estima que contiene aproximadamente 1.48 toneladas de cocaína, valoradas en unos 37 millones de dólares.

#PlanControlTerritorial",True,nuestra marina nacional incautó una lancha a 490 millas náuticas al suroeste de la bocana el cordoncillo estero de jaltepeque a bordo de la lancha narcotraficante se encontraban 9 tripulantes entre ellos 6 ecuatorianos y 3 guatemaltecos se estima que contiene aproximadamente 148 toneladas de cocaína valoradas en unos 37 millones de dólares,Government,0.0,"The tweet presents a factual statement about the absence of a Colombian person, without expressing a positive or negative sentiment, making it neutral.",0
2513,8118,https://x.com/mar59835126/status/1366792349037129729,1614703664.0,1.36679e+18,,es,17/05/2018,"San Pablo, CA",@FranAlabi @nayibbukele Wow que cambio,False,wow que cambio,https://x.com/FranAlabi/status/1366562547512573955,1614648875.0,1.36656e+18,False,,False,False,,707.0,5717.0,195.0,es,"San Salvador, El Salvador",Francisco Alabi 🇸🇻,Ministro de Salud 🇸🇻 Médico Cirujano Laparoscopista y Bariátrico,410702.0,True,"Áreas dignas para la población y el personal de salud.

paso a paso cambiamos nuestra red de hospitales para beneficio de los Salvadoreños.

Gracias Presidente @nayibbukele por todo su apoyo al sistema de salud y al pueblo Salvadoreño. 🇸🇻🇸🇻🇸🇻 https://t.co/S39bkehsE0",True,áreas dignas para la población y el personal de salud paso a paso cambiamos nuestra red de hospitales para beneficio de los salvadoreños gracias presidente por todo su apoyo al sistema de salud y al pueblo salvadoreño,Government,0.0,"The tweet is neutral, as it only expresses surprise or amazement with the phrase 'wow que cambio', without conveying a clear positive or negative sentiment.",0
1592,4987,https://x.com/Nuevasideas9/status/1770973547290075467,1711067971.0,1.77097e+18,113.0,es,26/04/2018,"Arlington, Neptune Beach",@fulloa51 Que quiere decir con ponerle un gravamen o tomar parte de ella?,False,que quiere decir con ponerle un gravamen o tomar parte de ella,https://x.com/fulloa51/status/1770936553839145077,1711059151.0,1.77094e+18,False,,False,False,213164.0,373.0,1259.0,427.0,es,"San Salvador, El Salvador",Félix Ulloa,Vicepresidente de la República de El Salvador.,275995.0,True,"La Prensa Gráfica publicó parte de un video totalmente fuera de contexto.

NO SE VAN A UTILIZAR LAS REMESAS DE LOS SALVADOREÑOS.

Explicaba en el foro de la OISS que existe la propuesta de varios organismos de implementar mecanismos de inversión VOLUNTARIA, para intentar que el 100% de las remesas no se vayan únicamente a consumo, sino que también pudieran invertirse, esto por supuesto es a decisión de quién envía o recibe la remesa y no de los gobiernos; además, esa ni siquiera es una propuesta del gobierno de El Salvador.

Es más, el Gobierno Salvadoreño aprobó hace unos días QUITAR LOS IMPUESTOS a TODAS las transferencias de dinero que vienen del extranjero. (Dato mata relato)

Esto por supuesto incluye las grandes transferencias (que antes pagaban) y las pequeñas transferencias (que no pagaban, pero que ahora están protegidas por ley).

Por lo tanto NIEGO categóricamente lo expuesto por este medio de información y su nota tendenciosa sacada de contexto.",True,la prensa gráfica publicó parte de un video totalmente fuera de contexto no se van a utilizar las remesas de los salvadoreños explicaba en el foro de la oiss que existe la propuesta de varios organismos de implementar mecanismos de inversión voluntaria para intentar que el 100 de las remesas no se vayan únicamente a consumo sino que también pudieran invertirse esto por supuesto es a decisión de quién envía o recibe la remesa y no de los gobiernos además esa ni siquiera es una propuesta del gobierno de el salvador es más el gobierno salvadoreño aprobó hace unos días quitar los impuestos a todas las transferencias de dinero que vienen del extranjero dato mata relato esto por supuesto incluye las grandes transferencias que antes pagaban y las pequeñas transferencias que no pagaban pero que ahora están protegidas por ley por lo tanto niego categóricamente lo expuesto por este medio de información y su nota tendenciosa sacada de contexto,Government,0.0,"The tweet is asking a question about the meaning of a phrase, without expressing a positive or negative sentiment, making it neutral.",0
2262,7255,https://x.com/Ernesto40676476/status/1764780168646701077,1709591354.0,1.76478e+18,135.0,es,01/07/2019,,@MarceloLarin1 Le gusta la publicidad,False,le gusta la publicidad,https://x.com/MarceloLarin1/status/1764631323182821585,1709555867.0,1.76463e+18,False,,False,False,86508.0,159.0,989.0,220.0,es,ALPHA CENTAURI,MARCELO LARIN,"CONFERENCISTA, CONSULTOR Y ASESOR DE NAYIB BUKELE.",64221.0,True,"Nayib les quito el fodes a sus alcaldes, no llevaba ni obras a todos los municipios y todavía le hecho las culpa de perder jajajaja y llama aliados  a los que nunca menciono en campaña al contrario los quiso desaparecer 🤣🤣🤣.

Ahora que el pueblo los cachimbio le llama aliados.

Esos es ser muy sinvergüenza.",False,nayib les quito el fodes a sus alcaldes no llevaba ni obras a todos los municipios y todavía le hecho las culpa de perder jajajaja y llama aliados a los que nunca menciono en campaña al contrario los quiso desaparecer ahora que el pueblo los cachimbio le llama aliados esos es ser muy sinvergüenza,Media,0.0,"The tweet is neutral, stating a fact about someone's preference for advertising without expressing a positive or negative sentiment.",0
2076,6618,https://x.com/makuva2004/status/1762307640841879845,1709001858.0,1.76231e+18,116.0,es,29/08/2021,El Salvador,"@Vi11atoro Esos no son niños, son delincuentes, priximos a ser asesinos, descuartizar salvadoreños honrrados, renteros, etc asi comenzo todo, como que fuera un juego y diversion, @Vi11atoro, @PNCSV, @FGR_SV, @nayibbukele los felicito y NO PAREN por el bien de todos los salvadoreños de bien. https://t.co/Mswz7bDjUp",True,esos no son niños son delincuentes priximos a ser asesinos descuartizar salvadoreños honrrados renteros etc asi comenzo todo como que fuera un juego y diversion los felicito y no paren por el bien de todos los salvadoreños de bien,https://x.com/Vi11atoro/status/1762285794952147099,1708996649.0,1.76229e+18,False,,False,True,94643.0,363.0,1755.0,172.0,es,,Gustavo Villatoro 🇸🇻,Ministro de Justicia y Seguridad Pública,66426.0,True,"Así como tienen el descaro de promover grupos terroristas de asesinos seriales, nosotros también los presentamos ante la población asumiendo el compromiso de que serán sometidos ante la #justicia.

Es triste ver de qué forma arruinan su vida y futuro dentro de la sociedad, ahora, les tocará terminar sus estudios dentro de un centro de cumplimiento de penas. 

Reiteramos el llamado a los padres, no podemos permitir que se sigan perdiendo más generaciones de salvadoreños, hablemos con nuestros hijos y advirtámosles las consecuencias de tomar estos malos caminos.",False,así como tienen el descaro de promover grupos terroristas de asesinos seriales nosotros también los presentamos ante la población asumiendo el compromiso de que serán sometidos ante la es triste ver de qué forma arruinan su vida y futuro dentro de la sociedad ahora les tocará terminar sus estudios dentro de un centro de cumplimiento de penas reiteramos el llamado a los padres no podemos permitir que se sigan perdiendo más generaciones de salvadoreños hablemos con nuestros hijos y advirtámosles las consecuencias de tomar estos malos caminos,Government,-1.0,"The tweet expresses a negative sentiment by calling the individuals 'delincuentes' and 'asesinos', and criticizing their actions as 'descuartizar salvadoreños honrrados renteros'. The tone is critical and disapproving, indicating a negative sentiment towards the individuals and their actions.",-1
2584,8278,https://x.com/saamuel72558816/status/1362121859370790918,1613590132.0,1.36212e+18,,es,23/04/2020,,@FranAlabi @SaludSV Como que no era necesario el gasto de dinero para esos camiones asi,False,como que no era necesario el gasto de dinero para esos camiones asi,https://x.com/FranAlabi/status/1362080410595958789,1613580250.0,1.36208e+18,False,,False,False,,591.0,4514.0,178.0,es,"San Salvador, El Salvador",Francisco Alabi 🇸🇻,Ministro de Salud 🇸🇻 Médico Cirujano Laparoscopista y Bariátrico,410702.0,True,"Es un día histórico para nuestro país y en esta lucha contra la pandemia. Las vacunas están entrando a espacio aéreo salvadoreño.

Es un honor para el personal de @SaludSV poder cumplirle a la población 🇸🇻. https://t.co/IMdS2LqbDA",True,es un día histórico para nuestro país y en esta lucha contra la pandemia las vacunas están entrando a espacio aéreo salvadoreño es un honor para el personal de poder cumplirle a la población,Government,-1.0,"The tweet expresses a negative sentiment by criticizing the unnecessary spending of money on certain buses, indicating disapproval and disappointment.",-1
254,608,https://x.com/laverdadepie/status/1773746178485559498,1711729018.0,1.77375e+18,13.0,es,18/03/2015,,@nayibbukele Unos dos mandatos más y la nueva generación será mejor.,False,unos dos mandatos más y la nueva generación será mejor,https://x.com/nayibbukele/status/1773738164651241807,1711727107.0,1.77374e+18,False,,False,True,657112.0,2830.0,13890.0,556.0,es,El Salvador,Nayib Bukele,Philosopher King,6211026.0,True,"“Amnistía Internacional acepta que la estrategia de seguridad de Bukele funcionó, pero dice que no será el primer programa en la historia de la humanidad que no requiera ningún tipo de mantenimiento"".

Lo mismo, dicho de otra forma 😘",True,amnistía internacional acepta que la estrategia de seguridad de bukele funcionó pero dice que no será el primer programa en la historia de la humanidad que no requiera ningún tipo de mantenimiento lo mismo dicho de otra forma,Government,1.0,"The tweet expresses optimism and hope for the future, implying that the current situation will improve with time, which is a positive sentiment.",1
